screenName,retweetCount,retweeted,longitude,latitude,text
MamaArch,1600,FALSE,NA,NA,"RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in ?"
Hiya_Mariah,0,FALSE,NA,NA,My family called me weird cause I drink coffee with a straw. I just think they are mad cause they didn't think of it first
gingi_snap,0,FALSE,NA,NA,I drank all that coffee for nothing.
micheeliinna,0,FALSE,NA,NA,?@kayleesmith95: i want coffee if i had a car that is all my car would be used for? SAME HERE
sheodd,1,FALSE,NA,NA,RT @marisaaaa23: ?@sheodd: Iced coffee in the mornings is soo amazing like it's my everyday breakfast pretty bad habit I'm building? that w?
HannahBrumback,2,FALSE,NA,NA,RT @skylarking24: Coffee ice cream is the best thing ever ok
A_luxurycar,0,FALSE,NA,NA,I burned my tongue drinking coffee this morning
oglivelavalakin,2,FALSE,NA,NA,RT @littledaisy420: iced coffee ilysm
niyaayu,0,FALSE,NA,NA,"Its strong connection to life. bittersweet RT @ikanatassa: coffee enthusiasts di timeline gue, boleh nanyakah? ini buat riset. why do you li"
TheOnlyBenedict,0,FALSE,NA,NA,"I don't drink coffee, i drink tea my dear.."
Mattic6,0,FALSE,NA,NA,I'm at Coffee Dominion http://t.co/0nseOXJ0K3
cubfan64,0,FALSE,NA,NA,@iowashoeguy I think Jaye could help you with the coffee #Hawkeyefootball
Kristen_Wright5,1,FALSE,NA,NA,"RT @TLW3: Coffee cup in hand, gun in holster http://t.co/rmoBUQrcnZ #gunfail @nra"
krysmeoww,1600,FALSE,NA,NA,"RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in ?"
jennaa_leaaa,0,FALSE,NA,NA,@krizzle_3 yesssss omg. Caramel almond iced coffee milk &amp;' one sugar
christianpalos,0,FALSE,NA,NA,Might make some coffee right now
JoeCoolSilliman,0,FALSE,NA,NA,"@katie_silliman @IntimacyFacts LMAO!!! What about avocados, spinach, coffee and tea? Those are also on my daily consumption list!! :-)"
Bboggia2465,14,FALSE,NA,NA,"RT @SarahWCaron: Apparently tomorrow is Starbucks Appreciation Day for gun enthusiasts where they go, sip coffee and bring guns. I know whe?"
KDL85,0,FALSE,NA,NA,Coffee with foam: http://t.co/34iGwYMKhb via @YouTube
warren_s,0,FALSE,NA,NA,@nitecoder @mattallen should have got an extra coffee to spill on it so no one else could read it. Waste of good coffee tho? maybe a chai?
chris_gonzales_,2,FALSE,NA,NA,"RT @IamBeyer: I'm ready for pumping spice beer/coffee, apple orchards, American horror story sea3, walking dead season sea4, college footba?"
isaaclxhey,0,FALSE,NA,NA,i live for coffee flavored ice cream
rnrmusicgurl,0,FALSE,NA,NA,"@sarakalke I hope that we all can keep this movement going..whether it be w/blizzards, coffee, groceries whatever... #PayItForward"
DreamtimeDrinne,0,FALSE,NA,NA,@JasonT @natasha_lh I'm much closer to your brother's pronunciation. I pronounce the O the same way I do in the word coffee You might too
Molli_Lynn,0,FALSE,NA,NA,I don't even like coffee
_ashley_marie_x,0,FALSE,NA,NA,?@tommymaloy: coffee coolata's are the shit?
pavingnewpaths,0,FALSE,NA,NA,I JUST SPILLED COFFEE DOWN MY SHIRT
platinumclubvan,0,FALSE,NA,NA,I think I need another coffee #StarBucks
heyderjess,0,FALSE,NA,NA,I dont wanna know how much iced coffee I drink a week
6XBytes,0,FALSE,NA,NA,@thebobbieoliver every morning i stand eastward &amp; chant that 3 times 'never read any self-help books' then coffee #bourbon chaser.
Keyz_Player96,0,FALSE,NA,NA,@JaleneVegter: All I want right now is for someone to eat chocolate chips &amp; drink coffee &amp; go star gazing with me. #simpleasthat
Baseball4Lifee6,0,FALSE,NA,NA,@PIRFCT1 hahahah I don't get much coffee from there but yes they ask so many questions but still screw it up hahaha
Alia_Dara,0,FALSE,NA,NA,#AlwayzRemember Neva let a nigga smack your tray and spill your coffee!!
thisizAsh,37,FALSE,NA,NA,RT @farleftcoast: Her: I met a guy online. We?re meeting for coffee. Me: Does he have a nice dick? Her: I DON?T KNOW YET! Me: I don?t un?
gggnef,0,FALSE,NA,NA,Fun fact: roast your own coffee bean at home using a popcorn machine! @YelpAdelaide #coffeecrawl
eBahadurGT,0,FALSE,NA,NA,@Jer_KIngD *gives u coffee*
napquest,0,FALSE,NA,NA,do you think the old dude next to me would be willing to pour some of his coffee into mine coz it got cold
Greta_Paige,0,FALSE,NA,NA,@Tifferz1991 good cause I already gave up sweet tea for green tea and coffee for hot tea and honey.
Roox_21,0,FALSE,NA,NA,"A cup of coffee sin azucar, ag"
fii_lutfi,0,FALSE,NA,NA,Just for you #abdul &amp; The Coffee Theory
Its_Ray_Ray1,1,FALSE,NA,NA,"RT @pisssyprincess: Like I'm sorry food, but you've been replaced with better things, like coffee and alcohol."
AnduhrewBush05,0,FALSE,NA,NA,"@klove_01 Haha it sucks until you get used to it, then it ain't bad. Down a cup or two of coffee and then it's off to work for 12-14 hours"
jcgrimes3,0,FALSE,NA,NA,@billshortenmp I think they have good coffee there
MandyTorresss,0,FALSE,NA,NA,@rosiescala no more coffee for you
meganmansor,0,FALSE,NA,NA,"If I were to go #Starbucks right now, I'd get a Venti Iced Vanilla coffee, w/ 2 pumps of white mocha, breve, and Extra Extra caramel drizzle"
SweetiePieSyd,0,FALSE,NA,NA,@DanielleATucker do u have any suggestions on what to put in coffee instead of cream? :-) like maybe almond milk? And honey?
YhosdalyL,6,FALSE,NA,NA,RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkK?
HIflyer,0,FALSE,NA,NA,@trishrothgeb @colecoffee @Timothybhill @LorenzoPerkins I'm creating my own Mighty Fine scale for coffee: goes to 110.
shevmigoats,0,FALSE,NA,NA,you me at six on the cover of Kerrang and iced coffee. I am very content. http://t.co/IuH05pTRuI
WeLoveSPN,1,FALSE,NA,NA,Jared got gum on his coffee lid and Jensen was clearly 1000% done. But like a good big brother he gave him his ow http://t.co/QQH012ZYVw
Shamrock_NY,0,FALSE,NA,NA,"Have to be up early tomorrow, and yet I just finished a large coffee. Avoid me at all costs tmrw"
SketcheeeN,0,FALSE,NA,NA,Someone come to the ridges hotel and chill ! There is a coffee shop here aswell ! Please
elledoo,0,FALSE,NA,NA,@LaurenKMcKellar HAHA never! Takes much more for death plots. Denying me coffee? Yes. Edits that will make my book great? *bakes cookies*
radicalann_,22,FALSE,NA,NA,"RT @lesbolife: wake up naked drinking coffee, making plans to change the world while the world was changing us"
xoxohail,0,FALSE,NA,NA,I probably shouldn't be drinking coffee this late but oh well. Ill just chug a bottle of zzzquil.
vir1502,0,FALSE,NA,NA,"There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in rats."
WholeLarderLove,0,FALSE,NA,NA,We went to town and ate a half decent baked cheese cake. I think we might have a new place for coffee? http://t.co/UfZCfcpSB3
katzseremane,0,FALSE,NA,NA,Coffee
Ali_Assi28,0,FALSE,NA,NA,Double apple shisha &amp; coffee.. What else you need for this night?
CameronAtrium,0,FALSE,NA,NA,I made coffee.
musicaddict75,0,FALSE,NA,NA,"it's Pepsi for me... @bombaytweeting: I love you less than coffee, which is more than enough."
JonsCrazyTweets,0,FALSE,NA,NA,@chandradawn1 COFFEE!!! COFFEE COFFEE!!! COFFEE!
DamionWalter1,0,FALSE,NA,NA,Coffee and my bible good combo morning twitter
mir_anderson,0,FALSE,NA,NA,"I need money so I can buy candles, coffee, gas, black n milds, and tattoos. #Seriously"
brainpicker,0,FALSE,NA,NA,"Lovely visual taxonomy of early coffee-making devices, 1922 http://t.co/fZrUuw2y6J"
EvitaSong_287,310,FALSE,NA,NA,"RT @sweetestMY: It's way too hot to be outside shooting for all day I'm doing it anyway..thank you.. my best friend, iced coffee couldn't d?"
xoxo_caitlynn,2,FALSE,NA,NA,RT @BullardBella: ?@locklear_noah: I could drink some coffee but I don't wanna go make it?
rifianti,0,FALSE,NA,NA,Oh homemade creamy coffee. I could sip your creamy delight all day long.
samanthaboydddd,2,FALSE,NA,NA,RT @Mayflower04: She only drinks coffee at midnight. When the moment is not right.
trey_mason1,0,FALSE,NA,NA,bout to get some coffee cause my damn eyes closing and an no where near done studying.
DJSVED,1,FALSE,NA,NA,RT @mindelixir: RT @fastnasty: I'm drinking 2 pots of coffee and staying up all night to finish this @mindelixir remix so I can play it out?
ChrisChug,0,FALSE,NA,NA,"@NealChug no I didn't get one yet. You know that I don't SB that much hehe. I palpitate with too much coffee. Huhu. Wow, you na!"
jenngarza23,0,FALSE,NA,NA,"Can I just move into Bucees!? tons of snacks, Endless Coffee, country music all the time! #Perfect"
msirishgarcia,0,FALSE,NA,NA,"Mornin'. Coffee, anyone?"
HollyRockIt,0,FALSE,NA,NA,Michael Jackson and Slash walk into a coffee bean... #hollywoodblvd
shibizain,0,FALSE,NA,NA,"Hazelnut White Coffee from Old Town Coffee RT @ikanatassa: second question: what is the best coffee you've ever had in your life, and why?"
tristynbaker,0,FALSE,NA,NA,"and yes, coffee was my dinner tonight..."
littlehayniac,0,FALSE,NA,NA,You don't like coffee? http://t.co/mlHo44kgZk
february4ir,2,FALSE,NA,NA,"RT @g4ybacon: I just want it to be winter already bc I hate slutty summer clothes. I miss my scarves and jackets, and coffee and cigarets o?"
LiyanaAsri,5,FALSE,NA,NA,RT @smartalecks_: Some people start off their morning with breakfast or just coffee. I start off with a morning text :')
jayyHaira,0,FALSE,NA,NA,"ordered a coffee and when i said my name they responded, Jamaira?"
tommymaloy,0,FALSE,NA,NA,coffee coolata's are the shit
bewitchingfaery,16,FALSE,NA,NA,RT @serverproblems2: when co-workers use up all the coffee and don't brew more!&lt;&lt;&lt;&lt;&lt;&lt;&lt; #serverproblems
UnpluggedCrazy,0,FALSE,NA,NA,"As someone who dislikes coffee, I have no idea why I thought it would be a good idea to buy Ben &amp; Jerry's new coffee flavor. Oh right, fat."
laurenndewey,0,FALSE,NA,NA,I need to try and start drinking just black coffee. Wayy healthier.
Danjanon,99,FALSE,NA,NA,RT @JohnBirmingham: ?@DamianSharry: Brisbane cafe putting its foot down over the Courier Mail http://t.co/Ki90fbV2v9?? Think I found my ne?
jaimesuarez22,0,FALSE,NA,NA,Kay. So coffee date with @_sammiieeee soon!!!
zarrazettina,0,FALSE,NA,NA,"Abc mocca,., its so moccalicious RT @ikanatassa: second question: what is the best coffee you've ever had in your life, and why?"
meganhagg24,0,FALSE,NA,NA,Really regretting those 3 cups of coffee today #wired #cantsleep #earlymornings
Ad_Adit11,1,FALSE,NA,NA,RT @YeowoolDam: This morning HOT Coffee Happy Happy http://t.co/WxfKiU4l46
kimsIeepy,0,FALSE,NA,NA,@Goodbye_My_Lady oh yeah of course the sister plays a big role. Don't get too comfortable with this sweet blooming coffee romance however
garydlum,0,FALSE,NA,NA,#lunch Chicken and pumpkin risotto with iced coffee @ Hoz Cafe http://t.co/LH8TtIzEyY
LRConsiderer,0,FALSE,NA,NA,BAD HABIT ALERT! http://t.co/DIzpwj9G4Z via @KateWhineHall
GriggyGringo,1,FALSE,NA,NA,RT @sophistiCAITed_: I didn't need anything more than to sit on Dan's floor drinking an iced coffee and shooting the shit tonight @GriggyGr?
rumshahh,0,FALSE,NA,NA,*Comes home with a large coffee* that's what you call miscommunication http://t.co/s4OXHzUGLA
AubreyBates1,0,FALSE,NA,NA,Coffee #34 http://t.co/3Q02v4r9TP via @weebly
NerraFBby,0,FALSE,NA,NA,Think I want an iced coffee
DoulaMegan,0,FALSE,NA,NA,Megan.. Do you want an iced coffee? *yep !* do you want a beer? *YEP!* #musthaveallthebeverages http://t.co/frd41TriqJ
kekekelela,0,FALSE,NA,NA,Coffee realness. Or latte art. http://t.co/c34IDhGjUs
anahafida_,0,FALSE,NA,NA,MilkShake?) ) @notesSAHABAT: #NoterSpecialEid Coffee Or MilkShake ?
AdelaideReview,1,FALSE,NA,NA,Food For Thought: @Annabelleats shares a delicious Venison and Porcini Mushroom Pie Recipe. http://t.co/N8O7vqFKWN http://t.co/QAVqleO5Ke
Jessicaschoefer,0,FALSE,NA,NA,Black coffee will keep me up all night lololol I'm gonna be super hyper bi
Phranchizpoet,0,FALSE,NA,NA,"Damn, I'm out of regular coffee... Now I have to settle for decaf, Oh well!"
JonasWorldFeed,6,FALSE,NA,NA,Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. Charity auction: https://t.co/VTkKGlyqht
GettaGo,0,FALSE,NA,NA,@JessHampson Then do you want coffee in the morning? Donuts? Carrots to catch the wiggling nose monster?
weye,0,FALSE,NA,NA,"I'm craving for some warm chocolate cake with a nice, strong cup of coffee. #rainydaycomfort http://t.co/WXZmll0PNP"
bsquaredb2,0,FALSE,NA,NA,MAXWELL'S HOUSE! #ROYALS Free coffee promotion? @610SportsKC
E_Kindell,0,FALSE,NA,NA,?@meggp_12: ?@CleatingChase: My favorite part about fall: Hoodies Leggings Sweatpants Cold nights Football games Uggs Pumpkin coffee?
AIS_Network,0,FALSE,NA,NA,Spilled a 16 oz coffee on a Toshiba laptop. It survived but turned into an Apple laptop. It has no right click. #IT #coffee
_JoyaxO,0,FALSE,NA,NA,But I just drank 2 cups of coffee
Yuii_Tan,0,FALSE,NA,NA,Starbucks chocolate coffee ~ http://t.co/fCO8OijVtN
Mixd_kuri,1,FALSE,NA,NA,RT @savannah_palle: Coffee ice cream is my favorite
exochosarang,15,FALSE,NA,NA,"RT @EXOFANBASE_: #imagine you make a coffee in the morning,suddenly chanyeol came and hug u in behind, put his chin in ur shoulder and said?"
AyeeShaee,0,FALSE,NA,NA,Dat Girl Thought Shit Was Sweet Wen Dat Coffee Went On Kala Jacket
mightyduckface,0,FALSE,NA,NA,Craving for starbucks-like coffee - .-
ASAP_29,0,FALSE,NA,NA,I haven't eaten all day.. : ( Coffee was all I had....
21thingsido,0,FALSE,NA,NA,I'm about to make me some coffee mmmmmm I love it!!
drink_smoke_die,0,FALSE,NA,NA,@HeteroWhiteMan Come round for coffee anytime. http://t.co/QUtlHphPem
delasmoove,0,FALSE,NA,NA,Lmfaooooo by far....that guy drinks Irish coffee RT @2treyJay: @delasmoove Walsh drinks more than Stone Cold Steve Austin bro?
hayleydeniseeee,0,FALSE,NA,NA,"coffee, weed &amp; cigarettes are the three things that keep me from being a complete bitch."
jordeeeliz,0,FALSE,NA,NA,The weirdest thing happened to me this summer...I discovered I like coffee black.
smrtgirl,0,FALSE,NA,NA,Drinking an Epicurean Coffee &amp; Fig by @epicbeer ? http://t.co/YpwDNilw6k
SamanthaMaione,2,FALSE,NA,NA,RT @AuroraTynan: Coffee date with the girls :) @SamanthaMaione and @cassieverslype
tburgess57,0,FALSE,NA,NA,@lorisica @BrandIdeas stay up later and drink more coffee tomorrow #mediachat
Zebbyz,0,FALSE,NA,NA,@craigharoldball Tough shit if you only want a coffee without the politics bulshit @margokingston1
sincerely_kathy,10,FALSE,NA,NA,RT @FinchelGleeLove: when Lea gave Cory a lava lamp and Cory gave Lea a coffee maker GIVE ME THESE RIOTS BACK I NEED THEM TO SURVIVE
logaaan,0,FALSE,NA,NA,gonna go get a large coffee with a shot of espresso so i don't fall asleep on the plan ride to calgary. WAHOO NOT SLEEPING TONIGHT WHAT
emilylanglois_,0,FALSE,NA,NA,I'm driving for the very first time because nobody else will take me to get coffee.
fl00rplan,2,FALSE,NA,NA,"RT @g4ybacon: I just want it to be winter already bc I hate slutty summer clothes. I miss my scarves and jackets, and coffee and cigarets o?"
kahmingxx,0,FALSE,NA,NA,THE COFFEE THE COFFEE SHIT I GOT THE VOMIT FEELING
dark_davidd,358,FALSE,NA,NA,RT @madisonpettis: I don't get why u have to pay for wifi on a plane when you can walk into any Starbucks &amp; get wifi for free. Plane tix co?
Audelynn,10,FALSE,NA,NA,RT @realjamescase: Drinking too much coffee can cause a latte problems.
LindseyThomps_,0,FALSE,NA,NA,Just drank so much coffee and I'm more tired
taylorawbrey,0,FALSE,NA,NA,I remember spending a whole day Barnes and Noble Southlake...reading in a corner spot...with coffee. Favorite kind of bliss
qiansong_fx,0,FALSE,NA,NA,Victoria likes drinking coffee.
jhei_lutana,0,FALSE,NA,NA,3-in-1 coffee with 1 after eight chocolate tastes like peppermint mocha!! Haha great experiment for today.
not_a_fantasy,0,FALSE,NA,NA,you would expect hampton inn?s free coffee to be shit but it?s actually so good
ayoItsKidRam,0,FALSE,NA,NA,made coffee. about to start writing. today is a good day. oh and I'm 80 percent to full recovery!
vhianov,2,FALSE,NA,NA,"RT @ikanatassa: second question: what is the best coffee you've ever had in your life, and why?"
liyenliaw,0,FALSE,NA,NA,"@MaddTheMeow @edwinaED it wasn't chocolate !! It looks like chocolate, but it doesn't taste choc. It wasn't even coffee!!!"
fstcontests,0,FALSE,NA,NA,Eight O'Clock Coffee Spot The Red Bag Sweepstakes http://t.co/EuIjS6mgIo
Jonquille318,0,FALSE,NA,NA,Coffee + Reading = Happy me
klinikkopi,0,FALSE,NA,NA,Watch Turkish Coffee Making Guide on YouTube http://t.co/nz8bsusrzt @rusminbahar
AlShmri_8,0,FALSE,NA,NA,Awake *COFFEE*
aL_Rabara,0,FALSE,NA,NA,Unusual cravings for today! Pan de Manila coffee and pandesal with peanut butter! #snacks #food #coffee http://t.co/DSAVNs9DIe
Inflatophin,0,FALSE,NA,NA,Coffee cake? Y/N? ? Yes please! Are you offering? ;) http://t.co/INiM3FJByy
sophistiCAITed_,1,FALSE,NA,NA,I didn't need anything more than to sit on Dan's floor drinking an iced coffee and shooting the shit tonight @GriggyGringo
HyrumGraph,1,FALSE,NA,NA,"RT @Sam_Ryan97: Coffee and tea, and the java and me...a cup a cup a cup a cup a cup, boy!!"
ClarkCovington,0,FALSE,NA,NA,Coffee or music? Both.
chiying94,0,FALSE,NA,NA,@ViknaRoshan ahh...buy me coffee thx !!
TotallyAusten,0,FALSE,NA,NA,"{ I sit in Starbucks, staring intently out the window. Not excatly sure--"
Autolycus_88,2,FALSE,NA,NA,"RT @danielcudmore: Dear coffee shops, Organic coffee doesn't make it good coffee..? #isthis dirt?"
brandnewblues,0,FALSE,NA,NA,"@kungfupussy nice, where can you buy it from? redbubble? @Gridlock_Coffee"
AustralianBoys_,11349,FALSE,NA,NA,"RT @Luke5SOS: just put chocolate milk in the top of my coffee, I think I just changed history"
TristonTooSuave,0,FALSE,NA,NA,@abbycastro98 it's like a fruit smoothie/snow cone/coffee place (:
Zach_The_Five_O,0,FALSE,NA,NA,I didnt have #Maxwell coffee this morning with my #countrybreakfast sandwich so I have no idea why Maxwell homered lol #royals
Shelleygirl311,0,FALSE,NA,NA,"Twitter - causing my coffee to go cold cup after cup since... Ah hell, the day I fell in love with you guys!!!"
ItsJustRocko,0,FALSE,NA,NA,@moronninja well I don't have coffee in cartons but I do have it in tiny cans so it's pretty much the same thing. Which is awesome.
charlotteleyden,1,FALSE,NA,NA,RT @rachellarrivee: coffee oreo is the most underrated flavor of ice cream
harryakano,0,FALSE,NA,NA,wow I want coffee
kimberlybyrum,0,FALSE,NA,NA,@wcwp33 @jwhitacre2 yeah!! like coffee creamer
marissa_maguire,0,FALSE,NA,NA,I always drink coffee at night.. And i always regret it when i cant sleep. Ill never learn
KatieNester,0,FALSE,NA,NA,Meeting your best friend for coffee and not accomplishing much... LOL. #goodfriendship #sosimilar
Grant_watsonn,0,FALSE,NA,NA,@Woaholiviacoy it doesnt keep you awake like coffee though does it?!
amanduh_aviles,0,FALSE,NA,NA,Get me coffee
AlanaBWaters,0,FALSE,NA,NA,I had a coffee called rocket surgery and it was amazing.
MariamSultan26,0,FALSE,NA,NA,Am I the only one who burns my tongue every time I drink coffee?
yooowesa,0,FALSE,NA,NA,Let's get coffee. ? I'm not much of a coffee person.. But make it ice cream and I'm done. http://t.co/j12t9G7vq9
sarahwiers22,1,FALSE,NA,NA,RT @Dance10Paul: @Paris_Zondag im not a coffee drinker! So definitely hot chocolate hands down! :D
CaraElbeth,0,FALSE,NA,NA,0_0 ?@WOWFactsOfLife: The amount of caffeine found in a cup of coffee can relieve depression by close to 60%.?
lucipurrrmeow,0,FALSE,NA,NA,I got this new Carmel mocha coffee cream and it tastes so good right now
isaROZAY,0,FALSE,NA,NA,This coffee made me sleepy
TheRolo,2,FALSE,NA,NA,RT @MrT1M: It's impressive how slow I can drink a cup of coffee when I?m in full-on procrastination mode.
pisssyprincess,1,FALSE,NA,NA,"Like I'm sorry food, but you've been replaced with better things, like coffee and alcohol."
Emmairl,0,FALSE,NA,NA,The scene in Thor with the coffee cup?
CoachChief,0,FALSE,NA,NA,Right Center is filled with coffee. Maxwells House!! @JustinMaxwell27 #RoyalsSocial
YouEnKay,0,FALSE,NA,NA,Aleka and I once mixed chocolate &amp; caramel coffee creamer with milk. And it was SO GOOD.
Cptn_Shortbus,0,FALSE,NA,NA,Maxwell House Coffee Porter #beersofthek #almoststout
PIRFCT1,0,FALSE,NA,NA,@Baseball4Lifee6 I hate McDonalds coffee. How many creams? How many sugars? Just make the fucking coffee. lol
JackieSutton94,0,FALSE,NA,NA,"If anyone wants to buy me a camera lens water bottle/coffee mug thing, I wouldn't mind having one. #JustSaying"
CallieDyess,3,FALSE,NA,NA,RT @wilw: And we have a beer flight winner. ? Drinking an Eugene Coffee Porter by @revbrewchicago at @fischmanliquors ? http://t.co/Vb6AF8?
olyfrosty,42,FALSE,NA,NA,RT @MoveTheSticks: Charlie Whitehurst looks like he should be working at a coffee shop in Portland or hosting a renovation show on HGTV.
NotFakeMike,1600,FALSE,NA,NA,"RT @UberFacts: There are more than 1,000 chemicals in a single cup of coffee. Of these, only 26 have been tested and half caused cancer in ?"
freebiecorner1,0,FALSE,NA,NA,Free Sample of a single cup of Gevalia Coffee http://t.co/DKZUWb8jne http://t.co/e7gjmE2B50
jacobrules23,0,FALSE,NA,NA,#SharkafterDark question for the host how long did it take to build your shark coffee table #SharkWeek
ReverentSilence,0,FALSE,NA,NA,I think I'll have another cup of coffee.
mathewsbambina,0,FALSE,NA,NA,Remember the Italian Cream Iced Coffee recipe? Well I tweaked it a little and am making @ZokuHQ pops with it tonight! http://t.co/Ea1T0HtNaV
bryzy_brib,1,FALSE,NA,NA,"Senior March tmw morning at 7:25 A.M. in the SENIOR lot. Get up early, make yo coffee/breakfast, cus this will only happen once in your life"
antboy_,0,FALSE,NA,NA,Me and this iced coffee for the night
AndyHieb,0,FALSE,NA,NA,"Cup of coffee in the morning, bottle of beer in the evening, you frame my day so pleasurably"
HayMelanie,0,FALSE,NA,NA,"Iced coffee, donuts &amp; cookies"
AyeeShaee,0,FALSE,NA,NA,Kala Said Ms Yu Betta Get Her She Jus Threw Coffee On Me 2.5 Secs Later She Was On Da Floor
purplefluffy99,0,FALSE,NA,NA,"Also, dogs aren't smart enough to dip the donut in the coffee and then eat the part that's been dipped. #ladyandthetramp"
HIflyer,1,FALSE,NA,NA,RT @CoffeeQuest: A coffee tree affected by 'Roya' . Central America's production is estimated to be down 15% due to this. http://t?
HyrumGraph,1,FALSE,NA,NA,RT @Eliana_Magallan: @HyrumGraph coffee and tea and the java and me! A cup a cup a cup a cup a cup BOY!
AnaisWantsPeace,0,FALSE,NA,NA,If anyone ever wants to get into my good graces... froyo is the way to go! Or coffee. I can never have enough coffee
jessicapsh,0,FALSE,NA,NA,Nothing more special than a cup of tea mixed with a teaspoon of coffee to start the day..tgif!
